"episode","1000 wo map - _step","1000 wo map - self_coins1"
"1223","1222","1.17"
"1224","1223","1.27"
"1225","1224","1.37"
"1226","1225","1.21"
"1227","1226","1.43"
"1228","1227","1.13"
"1229","1228","1.29"
"1230","1229","1.21"
"1231","1230","1.31"
"1232","1231","1.4"
"1233","1232","1.13"
"1234","1233","1.3"
"1235","1234","1.14"
"1236","1235","1.38"
"1237","1236","1.24"
"1238","1237","1.37"
"1239","1238","1.34"
"1240","1239","1.32"
"1241","1240","1.37"
"1242","1241","1.35"
"1243","1242","1.23"
"1244","1243","1.26"
"1245","1244","1.32"
"1246","1245","1.28"
"1247","1246","1.32"
"1248","1247","1.41"
"1249","1248","1.28"
"1250","1249","1.4"
"1251","1250","1.14"
"1252","1251","1.29"
"1253","1252","1.24"
"1254","1253","1.21"
"1255","1254","1.26"
"1256","1255","1.27"
"1257","1256","1.43"
"1258","1257","1.25"
"1259","1258","1.23"
"1260","1259","1.31"
"1261","1260","1.2"
"1262","1261","1.31"
"1263","1262","1.31"
"1264","1263","1.35"
"1265","1264","1.39"
"1266","1265","1.34"
"1267","1266","1.49"
"1268","1267","1.38"
"1269","1268","1.23"
"1270","1269","1.33"
"1271","1270","1.24"
"1272","1271","1.28"
"1273","1272","1.17"
"1274","1273","1.34"
"1275","1274","1.07"
"1276","1275","1.29"
"1277","1276","1.14"
"1278","1277","1.32"
"1279","1278","1.26"
"1280","1279","1.36"
"1281","1280","1.22"
"1282","1281","1.2"
"1283","1282","1.31"
"1284","1283","1.36"
"1285","1284","1.3"
"1286","1285","1.25"
"1287","1286","1.41"
"1288","1287","1.31"
"1289","1288","1.35"
"1290","1289","1.25"
"1291","1290","1.22"
"1292","1291","1.35"
"1293","1292","1.44"
"1294","1293","1.32"
"1295","1294","1.41"
"1296","1295","1.39"
"1297","1296","1.26"
"1298","1297","1.39"
"1299","1298","1.31"
"1300","1299","1.37"
"1301","1300","1.35"
"1302","1301","1.41"
"1303","1302","1.41"
"1304","1303","1.31"
"1305","1304","1.29"
"1306","1305","1.31"
"1307","1306","1.37"
"1308","1307","1.27"
"1309","1308","1.23"
"1310","1309","1.42"
"1311","1310","1.39"
"1312","1311","1.15"
